0,338,no_option
0,404,established
1,338,emerging
2,212,established
2,212,established
3,212,no_option
3,495,no_option
3,66,no_option
3,144,emerging
3,341,emerging
3,55,established
3,462,no_option
3,84,no_option
3,175,established
3,155,no_option
3,10,established
3,182,no_option
4,212,no_option
4,199,no_option
4,308,no_option
4,360,no_option
4,40,emerging
4,75,emerging
4,399,no_option
4,323,no_option
4,237,established
4,64,emerging
4,213,emerging
4,228,emerging
4,272,established
4,461,established
5,376,established
5,118,no_option
5,235,established
5,161,established
5,247,no_option
5,452,emerging
5,442,established
5,472,established
5,311,no_option
5,217,no_option
5,146,emerging
5,275,emerging
5,226,emerging
5,72,no_option
5,104,no_option
5,290,no_option
5,270,no_option
5,268,emerging
5,436,established
5,255,emerging
5,113,emerging
5,149,established
6,376,established
6,428,no_option
6,271,no_option
6,256,no_option
6,49,no_option
6,337,no_option
6,90,no_option
6,138,no_option
7,376,established
7,118,established
7,96,emerging
8,376,emerging
8,14,emerging
8,275,established
8,372,emerging
9,376,established
9,365,established
9,301,established
9,76,no_option
9,293,no_option
9,388,no_option
9,297,established
9,10,established
9,488,no_option
10,161,established
10,27,no_option
10,326,established
10,349,established
11,161,no_option
11,122,established
11,153,emerging
11,324,emerging
11,90,established
11,227,established
11,353,emerging
11,431,established
11,298,no_option
11,489,emerging
12,161,established
12,247,emerging
12,305,established
12,354,established
12,304,established
12,336,established
12,260,emerging
12,237,established
12,180,established
12,278,no_option
12,174,established
13,161,established
13,54,no_option
13,367,no_option
14,161,established
14,162,established
14,269,established
14,421,emerging
14,435,established
14,330,established
14,438,emerging
14,441,no_option
15,162,established
15,60,established
15,408,established
15,39,established
15,493,established
15,493,established
16,162,emerging
16,337,established
16,408,emerging
16,360,established
16,354,emerging
16,493,established
16,86,no_option
17,162,established
17,157,emerging
17,438,no_option
17,173,emerging
17,365,no_option
17,77,emerging
17,273,emerging
17,164,established
17,165,emerging
17,316,emerging
18,192,emerging
18,204,established
18,88,established
18,21,established
19,192,emerging
19,463,no_option
19,440,emerging
19,78,no_option
20,192,emerging
20,78,no_option
20,319,established
21,192,established
21,487,established
22,137,established
22,443,emerging
22,73,no_option
23,137,established
24,137,established
24,257,emerging
24,416,emerging
24,23,established
24,90,established
24,325,no_option
24,396,emerging
24,197,established
24,276,emerging
24,89,established
24,233,emerging
24,181,emerging
24,289,established
24,202,no_option
24,417,established
24,331,emerging
25,137,emerging
25,146,no_option
25,305,emerging
25,99,no_option
25,106,emerging
26,204,emerging
26,389,emerging
26,453,emerging
26,111,established
27,204,established
27,420,no_option
27,172,no_option
27,288,no_option
27,135,no_option
27,201,no_option
28,27,established
28,434,established
28,52,established
29,27,established
29,377,established
30,27,established
30,374,established
30,374,established
30,243,established
30,350,established
30,231,established
30,14,no_option
30,444,established
30,28,established
30,63,no_option
30,196,no_option
30,83,no_option
30,292,no_option
30,388,no_option
30,149,established
30,140,established
30,479,established
30,205,no_option
30,165,established
30,457,emerging
30,370,emerging
30,329,no_option
30,250,established
31,27,established
31,320,established
31,116,no_option
32,434,established
32,122,established
32,337,established
32,328,established
33,374,emerging
33,156,emerging
34,374,emerging
34,415,no_option
34,283,no_option
34,25,established
34,12,emerging
34,1,no_option
34,453,emerging
34,448,no_option
34,255,emerging
34,252,emerging
34,424,no_option
34,94,emerging
34,432,emerging
34,489,established
34,8,emerging
34,172,no_option
34,327,no_option
34,37,no_option
34,159,no_option
34,131,emerging
34,478,no_option
34,120,established
34,427,no_option
34,351,no_option
34,286,no_option
35,243,established
35,32,emerging
35,487,emerging
35,265,no_option
36,350,established
36,446,established
36,48,established
36,283,no_option
36,330,emerging
36,107,established
36,398,emerging
36,398,emerging
36,98,established
37,24,established
37,46,no_option
37,362,emerging
37,111,established
37,85,emerging
37,477,emerging
37,82,emerging
37,486,established
37,277,no_option
37,147,established
37,177,emerging
38,24,no_option
38,402,no_option
38,40,no_option
38,115,emerging
38,149,established
38,312,emerging
38,214,emerging
38,214,established
38,412,emerging
38,490,established
